hs6,hs6_description,ucc,ucc_description,confidence,confidence_score,match_method,notes
010221,"Cattle; live, pure-bred breeding animals",030110,GROUND BEEF,HIGH,80,semantic_category,semantic_category: 'cattle' → 'beef'
010221,"Cattle; live, pure-bred breeding animals",030810,OTHER BEEF,HIGH,80,semantic_category,semantic_category: 'cattle' → 'beef'
010221,"Cattle; live, pure-bred breeding animals",040110,BACON,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010221,"Cattle; live, pure-bred breeding animals",040210,PORK CHOPS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010221,"Cattle; live, pure-bred breeding animals",040310,"HAM, NOT CANNED",MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010221,"Cattle; live, pure-bred breeding animals",040410,OTHER PORK,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010221,"Cattle; live, pure-bred breeding animals",040510,SAUSAGE,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010221,"Cattle; live, pure-bred breeding animals",040610,CANNED HAM,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010221,"Cattle; live, pure-bred breeding animals",050310,OTHER LUNCHMEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010221,"Cattle; live, pure-bred breeding animals",050410,LAMB AND ORGAN MEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010221,"Cattle; live, pure-bred breeding animals",060110,FRESH AND FROZEN WHOLE CHICKEN,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010221,"Cattle; live, pure-bred breeding animals",060210,FRESH AND FROZEN CHICKEN PARTS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010229,"Cattle; live, other than pure-bred breeding animals",030110,GROUND BEEF,HIGH,80,semantic_category,semantic_category: 'cattle' → 'beef'
010229,"Cattle; live, other than pure-bred breeding animals",030810,OTHER BEEF,HIGH,80,semantic_category,semantic_category: 'cattle' → 'beef'
010229,"Cattle; live, other than pure-bred breeding animals",040110,BACON,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010229,"Cattle; live, other than pure-bred breeding animals",040210,PORK CHOPS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010229,"Cattle; live, other than pure-bred breeding animals",040310,"HAM, NOT CANNED",MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010229,"Cattle; live, other than pure-bred breeding animals",040410,OTHER PORK,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010229,"Cattle; live, other than pure-bred breeding animals",040510,SAUSAGE,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010229,"Cattle; live, other than pure-bred breeding animals",040610,CANNED HAM,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010229,"Cattle; live, other than pure-bred breeding animals",050310,OTHER LUNCHMEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010229,"Cattle; live, other than pure-bred breeding animals",050410,LAMB AND ORGAN MEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010229,"Cattle; live, other than pure-bred breeding animals",060110,FRESH AND FROZEN WHOLE CHICKEN,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010229,"Cattle; live, other than pure-bred breeding animals",060210,FRESH AND FROZEN CHICKEN PARTS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010290,"Bovine animals; live, other than cattle and buffalo",030110,GROUND BEEF,HIGH,80,semantic_category,semantic_category: 'bovine' → 'beef'
010290,"Bovine animals; live, other than cattle and buffalo",030810,OTHER BEEF,HIGH,80,semantic_category,semantic_category: 'bovine' → 'beef'
010290,"Bovine animals; live, other than cattle and buffalo",040110,BACON,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010290,"Bovine animals; live, other than cattle and buffalo",040210,PORK CHOPS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010290,"Bovine animals; live, other than cattle and buffalo",040310,"HAM, NOT CANNED",MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010290,"Bovine animals; live, other than cattle and buffalo",040410,OTHER PORK,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010290,"Bovine animals; live, other than cattle and buffalo",040510,SAUSAGE,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010290,"Bovine animals; live, other than cattle and buffalo",040610,CANNED HAM,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010290,"Bovine animals; live, other than cattle and buffalo",050310,OTHER LUNCHMEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010290,"Bovine animals; live, other than cattle and buffalo",050410,LAMB AND ORGAN MEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010290,"Bovine animals; live, other than cattle and buffalo",060110,FRESH AND FROZEN WHOLE CHICKEN,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010290,"Bovine animals; live, other than cattle and buffalo",060210,FRESH AND FROZEN CHICKEN PARTS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010310,"Swine; live, pure-bred breeding animals",040110,BACON,HIGH,80,semantic_category,semantic_category: 'swine' → 'bacon'
010310,"Swine; live, pure-bred breeding animals",040210,PORK CHOPS,HIGH,80,semantic_category,semantic_category: 'swine' → 'pork'
010310,"Swine; live, pure-bred breeding animals",040310,"HAM, NOT CANNED",HIGH,80,semantic_category,semantic_category: 'swine' → 'ham'
010310,"Swine; live, pure-bred breeding animals",040410,OTHER PORK,HIGH,80,semantic_category,semantic_category: 'swine' → 'pork'
010310,"Swine; live, pure-bred breeding animals",040610,CANNED HAM,HIGH,80,semantic_category,semantic_category: 'swine' → 'ham'
010310,"Swine; live, pure-bred breeding animals",020710,"SWEETROLLS, COFFEE CAKES, DOUGHNUTS",MEDIUM,65,semantic_category,semantic_category: both in 'food_beverages'
010310,"Swine; live, pure-bred breeding animals",030110,GROUND BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010310,"Swine; live, pure-bred breeding animals",030510,ROUND STEAK,MEDIUM,65,semantic_category,semantic_category: both in 'food_beverages'
010310,"Swine; live, pure-bred breeding animals",030610,SIRLOIN STEAK,MEDIUM,65,semantic_category,semantic_category: both in 'food_beverages'
010310,"Swine; live, pure-bred breeding animals",030710,OTHER STEAK,MEDIUM,65,semantic_category,semantic_category: both in 'food_beverages'
010310,"Swine; live, pure-bred breeding animals",030810,OTHER BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010310,"Swine; live, pure-bred breeding animals",040510,SAUSAGE,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010310,"Swine; live, pure-bred breeding animals",050310,OTHER LUNCHMEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010310,"Swine; live, pure-bred breeding animals",050410,LAMB AND ORGAN MEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010310,"Swine; live, pure-bred breeding animals",060110,FRESH AND FROZEN WHOLE CHICKEN,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",040110,BACON,HIGH,80,semantic_category,semantic_category: 'swine' → 'bacon'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",040210,PORK CHOPS,HIGH,80,semantic_category,semantic_category: 'swine' → 'pork'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",040310,"HAM, NOT CANNED",HIGH,80,semantic_category,semantic_category: 'swine' → 'ham'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",040410,OTHER PORK,HIGH,80,semantic_category,semantic_category: 'swine' → 'pork'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",040610,CANNED HAM,HIGH,80,semantic_category,semantic_category: 'swine' → 'ham'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",020710,"SWEETROLLS, COFFEE CAKES, DOUGHNUTS",MEDIUM,65,semantic_category,semantic_category: both in 'food_beverages'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",030110,GROUND BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",030510,ROUND STEAK,MEDIUM,65,semantic_category,semantic_category: both in 'food_beverages'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",030610,SIRLOIN STEAK,MEDIUM,65,semantic_category,semantic_category: both in 'food_beverages'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",030710,OTHER STEAK,MEDIUM,65,semantic_category,semantic_category: both in 'food_beverages'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",030810,OTHER BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",040510,SAUSAGE,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",050310,OTHER LUNCHMEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",050410,LAMB AND ORGAN MEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",060110,FRESH AND FROZEN WHOLE CHICKEN,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",040110,BACON,HIGH,80,semantic_category,semantic_category: 'swine' → 'bacon'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",040210,PORK CHOPS,HIGH,80,semantic_category,semantic_category: 'swine' → 'pork'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",040310,"HAM, NOT CANNED",HIGH,80,semantic_category,semantic_category: 'swine' → 'ham'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",040410,OTHER PORK,HIGH,80,semantic_category,semantic_category: 'swine' → 'pork'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",040610,CANNED HAM,HIGH,80,semantic_category,semantic_category: 'swine' → 'ham'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",020710,"SWEETROLLS, COFFEE CAKES, DOUGHNUTS",MEDIUM,65,semantic_category,semantic_category: both in 'food_beverages'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",030110,GROUND BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",030510,ROUND STEAK,MEDIUM,65,semantic_category,semantic_category: both in 'food_beverages'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",030610,SIRLOIN STEAK,MEDIUM,65,semantic_category,semantic_category: both in 'food_beverages'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",030710,OTHER STEAK,MEDIUM,65,semantic_category,semantic_category: both in 'food_beverages'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",030810,OTHER BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",040510,SAUSAGE,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",050310,OTHER LUNCHMEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",050410,LAMB AND ORGAN MEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
