hs6_code,ucc_code,ucc_description,map_weight,confidence_level
010221,030810,OTHER BEEF,0.3537,HIGH
010221,030110,GROUND BEEF,0.3537,HIGH
010221,100510,MISCELLANEOUS DAIRY PRODUCTS,0.2927,HIGH
010229,100510,MISCELLANEOUS DAIRY PRODUCTS,0.3584,HIGH
010229,030810,OTHER BEEF,0.3208,HIGH
010229,030110,GROUND BEEF,0.3208,HIGH
010231,030810,OTHER BEEF,0.3667,HIGH
010231,030110,GROUND BEEF,0.3667,HIGH
010231,100510,MISCELLANEOUS DAIRY PRODUCTS,0.2667,HIGH
010239,030810,OTHER BEEF,0.5,HIGH
010239,030110,GROUND BEEF,0.5,HIGH
010290,030810,OTHER BEEF,0.5,HIGH
010290,030110,GROUND BEEF,0.5,HIGH
010310,040410,OTHER PORK,0.6077,HIGH
010310,040210,PORK CHOPS,0.3923,MEDIUM-HIGH
010391,040410,OTHER PORK,0.6077,HIGH
010391,040210,PORK CHOPS,0.3923,MEDIUM-HIGH
010392,040410,OTHER PORK,0.5981,HIGH
010392,040210,PORK CHOPS,0.4019,MEDIUM
010410,050410,LAMB AND ORGAN MEATS,0.5,HIGH
010410,050900,"MUTTON, GOAT AND GAME",0.5,HIGH
010511,060110,FRESH AND FROZEN WHOLE CHICKEN,0.3031,HIGH
010511,060210,FRESH AND FROZEN CHICKEN PARTS,0.3031,HIGH
010511,080110,EGGS,0.2458,HIGH
010511,050410,LAMB AND ORGAN MEATS,0.1479,MEDIUM
010512,060310,OTHER POULTRY,1.0,HIGH
010594,060110,FRESH AND FROZEN WHOLE CHICKEN,0.5,HIGH
010594,060210,FRESH AND FROZEN CHICKEN PARTS,0.5,HIGH
010599,060310,OTHER POULTRY,1.0,HIGH
020110,030810,OTHER BEEF,0.5,HIGH
020110,030110,GROUND BEEF,0.5,HIGH
020120,030810,OTHER BEEF,0.3491,HIGH
020120,030110,GROUND BEEF,0.3491,HIGH
020120,050410,LAMB AND ORGAN MEATS,0.1712,MEDIUM
020120,030210,CHUCK ROAST,0.1305,MEDIUM-LOW
020130,030810,OTHER BEEF,0.3489,HIGH
020130,030110,GROUND BEEF,0.3489,HIGH
020130,050410,LAMB AND ORGAN MEATS,0.1719,MEDIUM
020130,030210,CHUCK ROAST,0.1303,MEDIUM-LOW
020210,030810,OTHER BEEF,0.5,HIGH
020210,030110,GROUND BEEF,0.5,HIGH
020220,030810,OTHER BEEF,0.3495,HIGH
020220,030110,GROUND BEEF,0.3495,HIGH
020220,050410,LAMB AND ORGAN MEATS,0.1711,MEDIUM
020220,030210,CHUCK ROAST,0.1299,MEDIUM-LOW
020230,030810,OTHER BEEF,0.347,HIGH
020230,030110,GROUND BEEF,0.347,HIGH
020230,050410,LAMB AND ORGAN MEATS,0.1744,MEDIUM
020230,030210,CHUCK ROAST,0.1315,MEDIUM-LOW
020311,040410,OTHER PORK,0.6077,HIGH
020311,040210,PORK CHOPS,0.3923,MEDIUM-HIGH
020312,040410,OTHER PORK,0.6173,HIGH
020312,040210,PORK CHOPS,0.3827,MEDIUM
020319,040410,OTHER PORK,0.4842,HIGH
020319,040210,PORK CHOPS,0.3017,MEDIUM
020319,050410,LAMB AND ORGAN MEATS,0.2141,MEDIUM
020321,040410,OTHER PORK,0.6,HIGH
020321,040210,PORK CHOPS,0.4,MEDIUM-HIGH
020322,040410,OTHER PORK,0.6168,HIGH
020322,040210,PORK CHOPS,0.3832,MEDIUM
020329,040410,OTHER PORK,0.45,HIGH
020329,040210,PORK CHOPS,0.3,MEDIUM-HIGH
020329,050410,LAMB AND ORGAN MEATS,0.25,MEDIUM
020410,050410,LAMB AND ORGAN MEATS,1.0,MEDIUM
020421,050410,LAMB AND ORGAN MEATS,0.5,MEDIUM
020421,050900,"MUTTON, GOAT AND GAME",0.5,MEDIUM
020422,050410,LAMB AND ORGAN MEATS,0.7003,HIGH
020422,050900,"MUTTON, GOAT AND GAME",0.2997,MEDIUM
