level1,level2,description,ucc_code
1,4,OTHER NONHEALTH INSURANCE,002120
1,3,"FINANCE, LATE, INTEREST CHARGES FOR CREDIT CARDS",005420
1,3,"FINANCE, LATE, INTEREST CHARGES FOR STUDENT LOANS",005520
1,3,"FINANCE, LATE, INTEREST CHARGES FOR OTHER LOANS",005620
1,6,FLOUR,010110
1,6,PREPARED FLOUR MIXES,010120
1,6,READY-TO-EAT AND COOKED CEREALS,010210
1,6,RICE,010310
1,6,"PASTA, CORNMEAL AND OTHER CEREAL PRODUCTS",010320
1,7,WHITE BREAD,020110
1,7,"BREAD, OTHER THAN WHITE",020210
1,7,BISCUITS AND ROLLS,020310
1,7,CAKES AND CUPCAKES,020410
1,7,COOKIES,020510
1,7,CRACKERS,020610
1,7,BREAD AND CRACKER PRODUCTS,020620
1,7,"SWEETROLLS, COFFEE CAKES, DOUGHNUTS",020710
1,6,FROZEN AND REFRIGERATED BAKERY PRODUCTS,020810
1,7,"PIES, TARTS, TURNOVERS",020820
1,6,GROUND BEEF,030110
1,7,CHUCK ROAST,030210
1,7,ROUND ROAST,030310
1,7,OTHER ROAST,030410
1,7,ROUND STEAK,030510
1,7,SIRLOIN STEAK,030610
1,7,OTHER STEAK,030710
1,6,OTHER BEEF,030810
1,6,BACON,040110
1,6,PORK CHOPS,040210
1,7,"HAM, NOT CANNED",040310
1,6,OTHER PORK,040410
1,6,SAUSAGE,040510
1,7,CANNED HAM,040610
1,6,FRANKFURTERS,050110
1,7,"BOLOGNA, LIVERWURST, SALAMI",050210
1,7,OTHER LUNCHMEATS,050310
1,7,LAMB AND ORGAN MEATS,050410
1,7,"MUTTON, GOAT AND GAME",050900
1,7,FRESH AND FROZEN WHOLE CHICKEN,060110
1,7,FRESH AND FROZEN CHICKEN PARTS,060210
1,6,OTHER POULTRY,060310
1,6,CANNED FISH AND SEAFOOD,070110
1,6,FRESH FISH AND SHELLFISH,070230
1,6,FROZEN FISH AND SHELLFISH,070240
1,5,EGGS,080110
1,6,"FRESH MILK, ALL TYPES",090110
1,6,CREAM,090210
1,6,BUTTER,100110
1,6,CHEESE,100210
1,6,ICE CREAM AND RELATED PRODUCTS,100410
1,6,MISCELLANEOUS DAIRY PRODUCTS,100510
1,6,APPLES,110110
1,6,BANANAS,110210
1,6,ORANGES,110310
1,6,OTHER FRESH FRUITS,110410
1,6,"CITRUS FRUITS, EXCLUDING ORANGES",110510
1,6,POTATOES,120110
1,6,LETTUCE,120210
1,6,TOMATOES,120310
1,6,OTHER FRESH VEGETABLES,120410
1,7,FROZEN ORANGE JUICE,130110
1,7,FROZEN FRUITS,130121
1,7,FROZEN FRUIT JUICES,130122
1,6,FRESH FRUIT JUICE,130211
1,6,CANNED AND BOTTLED FRUIT JUICE,130212
1,6,CANNED FRUITS,130310
1,6,DRIED FRUIT,130320
1,6,FROZEN VEGETABLES,140110
1,7,CANNED BEANS,140210
1,7,CANNED CORN,140220
1,7,CANNED MISCELLANEOUS VEGETABLES,140230
1,7,DRIED PROCESSED VEGETABLES,140310
1,7,DRIED PEAS,140320
1,7,DRIED BEANS,140330
1,7,DRIED MISCELLANEOUS VEGETABLES,140340
1,7,FROZEN VEGETABLE JUICES,140410
1,7,FRESH AND CANNED VEGETABLE JUICES,140420
1,6,CANDY AND CHEWING GUM,150110
1,6,SUGAR,150211
1,6,ARTIFICIAL SWEETENERS,150212
1,6,"JAMS, PRESERVES, OTHER SWEETS",150310
1,6,MARGARINE,160110
1,6,FATS AND OILS,160211
1,6,SALAD DRESSINGS,160212
1,6,NONDAIRY CREAM AND IMITATION MILK,160310
1,6,PEANUT BUTTER,160320
1,6,COLA,170110
1,6,OTHER CARBONATED DRINKS,170210
1,7,ROASTED COFFEE,170310
1,7,INSTANT AND FREEZE DRIED COFFEE,170410
1,6,"NONCARBONATED FRUIT FLAVORED DRINKS, INCLUDING",170510
1,6,TEA,170520
1,6,OTHER NONCARBONATED BEVERAGES AND ICE,170531
1,6,BOTTLED WATER,170532
1,6,SPORTS DRINKS,170533
1,6,CANNED AND PACKAGED SOUPS,180110
1,7,FROZEN MEALS,180210
1,7,OTHER FROZEN PREPARED FOODS,180220
1,7,POTATO CHIPS AND OTHER SNACKS,180310
1,7,NUTS,180320
1,7,"SALT, SPICES, OTHER SEASONINGS",180410
1,7,"OLIVES, PICKLES, RELISHES",180420
1,7,SAUCES AND GRAVIES,180510
1,7,BAKING NEEDS AND MISCELLANEOUS PRODUCTS,180520
1,7,PREPARED SALADS,180611
1,7,PREPARED DESSERTS,180612
1,7,BABY FOOD,180620
1,7,MISCELLANEOUS PREPARED FOODS,180710
1,7,VITAMIN SUPPLEMENTS,180720
1,6,"LUNCH AT FAST FOOD, TAKE-OUT, DELIVERY, CONCESSION",190111
1,6,LUNCH AT FULL SERVICE RESTAURANTS,190112
1,6,LUNCH AT VENDING MACHINES AND MOBILE VENDORS,190113
1,6,LUNCH AT EMPLOYER AND SCHOOL CAFETERIAS,190114
1,6,"DINNER AT FAST FOOD, TAKE-OUT, DELIVERY, CONCESSIO",190211
1,6,DINNER AT FULL SERVICE RESTAURANTS,190212
1,6,DINNER AT VENDING MACHINES AND MOBILE VENDORS,190213
1,6,DINNER AT EMPLOYER AND SCHOOL CAFETERIAS,190214
1,6,"SNACKS AND NONALCOHOLIC BEVERAGES AT FAST FOOD,",190311
1,6,SNACKS AND NONALCOHOLIC BEVERAGES AT FULL SERVICE,190312
1,6,SNACKS AND NONALCOHOLIC BEVERAGES AT VENDING,190313
1,6,SNACKS AND NONALCOHOLIC BEVERAGES AT EMPLOYER AND,190314
1,6,"BREAKFAST AND BRUNCH AT FAST FOOD, TAKE-OUT,",190321
1,6,BREAKFAST AND BRUNCH AT FULL SERVICE RESTAURANTS,190322
1,6,BREAKFAST AND BRUNCH AT VENDING MACHINES AND MOBIL,190323
1,6,BREAKFAST AND BRUNCH AT EMPLOYER AND SCHOOL,190324
1,4,FOOD OR BOARD AT SCHOOL,190901
1,4,CATERED AFFAIRS,190902
1,4,FOOD ON OUT-OF-TOWN TRIPS,190903
1,5,FOOD PREPARED BY CONSUMER UNIT ON OUT-OF-TOWN TRIPS,190904
1,4,BEER AND ALE,200111
1,6,NONALCOHOLIC BEER,200112
1,4,WHISKEY,200210
1,4,WINE,200310
1,4,OTHER ALCOHOLIC BEVERAGES,200410
1,5,"BEER AND ALE AT FAST FOOD, TAKE-OUT, DELIVERY,",200511
1,5,BEER AND ALE AT FULL SERVICE RESTAURANTS,200512
1,5,BEER AND ALE AT VENDING MACHINES AND MOBILE VENDORS,200513
1,5,BEER AT EMPLOYER,200514
1,5,BEER AT BOARD,200515
1,5,BEER AND ALE AT CATERED AFFAIRS,200516
1,5,"WINE AT FAST FOOD, TAKE-OUT, DELIVERY, CONCESSION",200521
1,5,WINE AT FULL SERVICE RESTAURANTS,200522
1,5,WINE AT VENDING MACHINES AND MOBILE VENDORS,200523
1,5,WINE AT EMPLOYER,200524
1,5,WINE AT BOARD,200525
1,5,WINE AT CATERED AFFAIRS,200526
1,5,"OTHER ALCOHOLIC BEVERAGES AT FAST FOOD, TAKE-OUT,",200531
1,5,OTHER ALCOHOLIC BEVERAGES AT FULL SERVICE RESTAURANT,200532
1,5,OTHER ALCOHOLIC BEVERAGES AT VENDING MACHINES AND,200533
1,5,OTHER ALCOHOL AT EMPLOYER,200534
1,5,OTHER ALCOHOL AT BOARD,200535
1,5,OTHER ALCOHOLIC BEVERAGES AT CATERED AFFAIRS,200536
1,4,ALCOHOLIC BEVERAGES PURCHASED ON TRIPS,200900
1,5,RENT,210110
1,5,LODGING ON OUT-OF-TOWN TRIPS,210210
1,5,HOUSING WHILE ATTENDING SCHOOL,210310
1,6,GROUND RENT,210901
1,7,GROUND RENT,210902
1,6,HOMEOWNERS INSURANCE,220121
1,7,HOMEOWNERS INSURANCE,220122
1,5,PROPERTY TAXES,220211
1,6,PROPERTY TAXES,220212
1,6,MORTGAGE INTEREST,220311
1,7,MORTGAGE INTEREST,220312
1,6,"INTEREST PAID, HOME EQUITY LOAN",220313
1,7,"INTEREST PAID, HOME EQUITY LOAN",220314
1,6,PARKING,220901
1,7,PARKING,220902
1,7,PAINTING AND PAPERING,230112
1,7,PLUMBING AND WATER HEATING,230113
1,7,"HEAT, A/C, ELECTRICAL WORK",230114
1,7,ROOFING AND GUTTERS,230115
1,5,"DISHWASHERS (BUILT-IN), GARBAGE DISPOSALS, RANGE",230117
1,5,"DISHWASHERS (BUILT-IN), GARBAGE DISPOSALS, RANGE",230118
1,7,REPAIR OF BUILT-IN APPLIANCES,230141
1,7,REPAIR OF BUILT-IN APPLIANCES,230142
1,7,REPAIR OR MAINTENANCE SERVICES,230150
1,7,OTHER REPAIR AND MAINTENANCE SERVICES,230151
1,8,REPAIR AND REMODELING SERVICES,230152
1,7,PROPERTY MANAGEMENT,230901
1,8,PROPERTY MANAGEMENT,230902
1,7,"PAINT, WALLPAPER, AND SUPPLIES",240111
1,7,"PAINTS, WALLPAPER AND SUPPLIES",240112
1,8,"PAINTS, WALLPAPER, SUPPLIES",240113
1,7,TOOLS AND EQUIPMENT FOR PAINTING AND WALLPAPERIN,240121
1,7,TOOLS AND EQUIPMENT FOR PAINTING AND WALLPAPERIN,240122
1,8,TOOLS AND EQUIPMENT FOR PAINTING AND,240123
1,7,"MATERIALS FOR PLASTERING, PANELS, ROOFING,",240211
1,7,"MATERIALS FOR PLASTER., PANEL., SIDING, WINDOWS,",240212
1,7,MATERIALS AND EQUIPMENT FOR ROOF AND GUTTERS,240213
1,8,"MATERIALS FOR PLASTERING, PANELING, ROOFING,",240214
1,7,"MATERIALS FOR PATIO, WALK, FENCE, DRIVEWAY,",240221
1,7,"MATERIALS FOR PATIO, WALK, FENCE, DRIVEWAY,",240222
1,8,"MATERIAL FOR PATIO, WALK, FENCE, DRIVE,",240223
1,7,PLUMBING SUPPLIES AND EQUIPMENT,240311
1,7,PLUMBING SUPPLIES AND EQUIPMENT,240312
1,8,PLUMBING SUPPLIES AND EQUIPMENT,240313
1,7,"ELECTRICAL SUPPLIES, HEATING AND COOLING",240321
1,7,"ELECTRICAL SUPPLIES, HEATING AND COOLING",240322
1,8,"ELECTRICAL SUPPLIES, HEATING AND COOLING",240323
1,6,FUEL OIL (RENTER),250111
1,6,FUEL OIL (OWNED HOME),250112
1,6,FUEL OIL (OWNED VACATION),250113
1,6,FUEL OIL (RENTED VACATION),250114
1,6,"GAS, BTLD/TANK (RENTER)",250211
1,6,"GAS, BTLD/TANK (OWNED HOME)",250212
1,6,"GAS, BTLD/TANK (OWNED VACATION)",250213
1,6,"GAS, BTLD/TANK (RENTED VACATION)",250214
1,6,"COAL, WOOD, OTHER FUELS (RENTER)",250911
1,6,"COAL, WOOD, OTHER FUELS (OWNED HOME)",250912
1,6,"COAL, WOOD, OTHER FUELS (OWNED VACATION)",250913
1,6,"COAL, WOOD, OTHER FUELS (RENTED VACATION)",250914
1,5,ELECTRICITY (RENTER),260111
1,5,ELECTRICITY (OWNED HOME),260112
