code_type,code,description,reason
HS6,010121,"Horses; live, pure-bred breeding animals",No UCC match found above confidence threshold
HS6,010129,"Horses; live, other than pure-bred breeding animals",No UCC match found above confidence threshold
HS6,010130,Asses; live,No UCC match found above confidence threshold
HS6,010190,Mules and hinnies; live,No UCC match found above confidence threshold
HS6,010231,"Buffalo; live, pure-bred breeding animals",No UCC match found above confidence threshold
HS6,010239,"Buffalo; live, other than pure-bred breeding animals",No UCC match found above confidence threshold
HS6,010611,"Mammals; live, primates",No UCC match found above confidence threshold
HS6,010612,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",No UCC match found above confidence threshold
HS6,010613,"Mammals; live, camels and other camelids (Camelidae)",No UCC match found above confidence threshold
HS6,010614,"Mammals; live, rabbits and hares",No UCC match found above confidence threshold
HS6,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",No UCC match found above confidence threshold
HS6,010620,Reptiles; live (including snakes and turtles),No UCC match found above confidence threshold
HS6,010631,"Birds; live, birds of prey",No UCC match found above confidence threshold
HS6,010632,"Birds; live, Psittaciformes",No UCC match found above confidence threshold
HS6,010633,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",No UCC match found above confidence threshold
HS6,010639,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",No UCC match found above confidence threshold
HS6,010641,"Insects; live, bees",No UCC match found above confidence threshold
HS6,010649,"Insects; live, other than bees",No UCC match found above confidence threshold
HS6,010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",No UCC match found above confidence threshold
HS6,040900,Honey; natural,No UCC match found above confidence threshold
HS6,060110,"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",No UCC match found above confidence threshold
HS6,060120,"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower, chicory plants and roots other than of heading no. 1212",No UCC match found above confidence threshold
HS6,060210,"Plants, live; unrooted cuttings and slips",No UCC match found above confidence threshold
HS6,060230,"Plants, live; rhododendrons and azaleas, grafted or not",No UCC match found above confidence threshold
HS6,060240,"Plants, live; roses, grafted or not",No UCC match found above confidence threshold
HS6,060290,"Plants, live; n.e.c. in heading no. 0602",No UCC match found above confidence threshold
HS6,090300,Mate,No UCC match found above confidence threshold
HS6,110814,Starch; manioc (cassava),No UCC match found above confidence threshold
HS6,110819,Starch; n.e.c. in item no. 1108.11 to 1108.14,No UCC match found above confidence threshold
HS6,110820,Inulin,No UCC match found above confidence threshold
