hs10_code,hs10_description,reason_unmatched
0101210000,"HORSES, PUREBRED BREEDING, LIVE",No semantic match found above confidence threshold
0101290000,"HORSES, LIVE, EXCEPT PUREBRED BREEDING",No semantic match found above confidence threshold
0101290090,"HORSES, LIVE, NESOI",No semantic match found above confidence threshold
0101900000,"MULES AND HINNIES, LIVE",No semantic match found above confidence threshold
0101904000,"MULES AND HINNIES, LIVE, NESOI",No semantic match found above confidence threshold
0102310000,"BUFFALO, FOR PUREBRED BREEDING, LIVE",No semantic match found above confidence threshold
0102390000,"BUFFALO, LIVE, NESOI",No semantic match found above confidence threshold
0102390010,"BISON, LIVE",No semantic match found above confidence threshold
0102390038,"BUFFALO, LIVE, FEMALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON",No semantic match found above confidence threshold
0102390054,"BUFFALO, LIVE, MALE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON",No semantic match found above confidence threshold
0102390058,"BUFFALO, FEMALE, LIVE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON",No semantic match found above confidence threshold
0102390072,"BUFFALO, LIVE, FOR BREEDING, MALE, WEIGHING 320 KG OR MORE EACH, NESOI",No semantic match found above confidence threshold
0102390074,"BUFFALO, LIVE, IMPORTED FOR BREEDING, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI",No semantic match found above confidence threshold
0102390082,"BUFFALO, LIVE, MALE, WEIGHING 320 KG OR MORE EACH, NESOI",No semantic match found above confidence threshold
0102390084,"BUFFALO, LIVE, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI",No semantic match found above confidence threshold
0102900002,"BOVINES, LIVE, NESOI",No semantic match found above confidence threshold
0104200000,"GOATS, LIVE",No semantic match found above confidence threshold
0105120000,"TURKEYS, WEIGHING NOT MORE THAN 185 G EACH, LIVE",No semantic match found above confidence threshold
0105130000,"DUCKS, WEIGHING NOT MORE THAN 185 G EACH, LIVE",No semantic match found above confidence threshold
0105140000,"GEESE, WEIGHING NOT MORE THAN 185 G EACH, LIVE",No semantic match found above confidence threshold
0105150000,"GUINEA FOWLS, WEIGHING NOT MORE THAN 185 G EACH, LIVE",No semantic match found above confidence threshold
0105990000,"TURKEYS, DUCKS, GEESE AND GUINEA FOWLS, WEIGHING MORE THAN 185 G EACH, LIVE",No semantic match found above confidence threshold
0106110000,"PRIMATES, LIVE",No semantic match found above confidence threshold
0106130000,"CAMELS AND OTHER CAMELIDS, LIVE",No semantic match found above confidence threshold
0106140000,"RABBITS AND HARES, LIVE",No semantic match found above confidence threshold
0106193000,"FOXES, LIVE",No semantic match found above confidence threshold
0106199100,"MAMMALS, LIVE, EXCEPT PRIMATES, WHALES, DOLPHINS AND PORPOISES; MANATEES AND DUGONGS; RABBITS AND HARES; OR CAMELS, NESOI",No semantic match found above confidence threshold
0106199120,"DOGS, LIVE",No semantic match found above confidence threshold
0106199195,"MAMMALS, LIVE, NESOI",No semantic match found above confidence threshold
0106200000,"REPTILES (INCLUDING SNAKES AND TURTLES), LIVE",No semantic match found above confidence threshold
0106310000,"BIRDS OF PREY, LIVE",No semantic match found above confidence threshold
0106320000,"PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS), LIVE",No semantic match found above confidence threshold
0106330000,"OSTRICHES; EMUS (DROMAIUS NOVAEHOLLANDIAE), LIVE",No semantic match found above confidence threshold
0106390100,"BIRDS, LIVE, NESOI",No semantic match found above confidence threshold
0106410000,"BEES, LIVE",No semantic match found above confidence threshold
0106490000,"INSECTS, LIVE, EXCEPT BEES",No semantic match found above confidence threshold
0106490010,"LARVAE OF LEAF CUTTER BEE, LIVE",No semantic match found above confidence threshold
0106490090,"INSECTS, LIVE, OTHER THAN BEES OR LEAF CUTTER BEE LARVAE",No semantic match found above confidence threshold
0106900100,"ANIMALS, LIVE, EXCEPT MAMMALS, REPTILES, BIRDS OR INSECTS, NESOI",No semantic match found above confidence threshold
0106900110,"WORMS, LIVE",No semantic match found above confidence threshold
0106900120,"BAIT, LIVE, EXCEPT WORMS",No semantic match found above confidence threshold
0106900180,"ANIMALS, LIVE, EXCEPT MAMMALS, REPTILES, BIRDS OR INSECTS, NESOI",No semantic match found above confidence threshold
0208400100,"MEAT AND EDIBLE OFFAL OF WHALES, DOLPHINS AND PORPOISES (CETACEA); OF MANATEES AND DUGONGS (SIRENIA); OF SEALS, SEA LIONS AND WALRUSES, FR/CHILLED/FZN",No semantic match found above confidence threshold
0301110010,"KOI (COMMON) CARP (CYPRINUS CARPIO), LIVE",No semantic match found above confidence threshold
