ucc_code,ucc_description,reason_unmatched
002120,OTHER NONHEALTH INSURANCE,FINANCIAL
005420,"FINANCE, LATE, INTEREST CHARGES FOR CREDIT CARDS",FINANCIAL
005520,"FINANCE, LATE, INTEREST CHARGES FOR STUDENT LOANS",FINANCIAL
005620,"FINANCE, LATE, INTEREST CHARGES FOR OTHER LOANS",FINANCIAL
020610,CRACKERS,OTHER - No matching HS10 goods category
050110,FRANKFURTERS,OTHER - No matching HS10 goods category
050310,OTHER LUNCHMEATS,OTHER - No matching HS10 goods category
170532,BOTTLED WATER,UTILITY
190111,"LUNCH AT FAST FOOD, TAKE-OUT, DELIVERY, CONCESSION",PREPARED_FOOD
190112,LUNCH AT FULL SERVICE RESTAURANTS,SERVICE
190113,LUNCH AT VENDING MACHINES AND MOBILE VENDORS,PREPARED_FOOD
190114,LUNCH AT EMPLOYER AND SCHOOL CAFETERIAS,OTHER - No matching HS10 goods category
190211,"DINNER AT FAST FOOD, TAKE-OUT, DELIVERY, CONCESSIO",PREPARED_FOOD
190212,DINNER AT FULL SERVICE RESTAURANTS,SERVICE
190213,DINNER AT VENDING MACHINES AND MOBILE VENDORS,PREPARED_FOOD
190311,"SNACKS AND NONALCOHOLIC BEVERAGES AT FAST FOOD,",PREPARED_FOOD
190312,SNACKS AND NONALCOHOLIC BEVERAGES AT FULL SERVICE,SERVICE
190321,"BREAKFAST AND BRUNCH AT FAST FOOD, TAKE-OUT,",PREPARED_FOOD
190322,BREAKFAST AND BRUNCH AT FULL SERVICE RESTAURANTS,SERVICE
190323,BREAKFAST AND BRUNCH AT VENDING MACHINES AND MOBIL,PREPARED_FOOD
190902,CATERED AFFAIRS,PREPARED_FOOD
200511,"BEER AND ALE AT FAST FOOD, TAKE-OUT, DELIVERY,",PREPARED_FOOD
200512,BEER AND ALE AT FULL SERVICE RESTAURANTS,SERVICE
200513,BEER AND ALE AT VENDING MACHINES AND MOBILE VENDORS,PREPARED_FOOD
200516,BEER AND ALE AT CATERED AFFAIRS,PREPARED_FOOD
200521,"WINE AT FAST FOOD, TAKE-OUT, DELIVERY, CONCESSION",PREPARED_FOOD
200522,WINE AT FULL SERVICE RESTAURANTS,SERVICE
200523,WINE AT VENDING MACHINES AND MOBILE VENDORS,PREPARED_FOOD
200526,WINE AT CATERED AFFAIRS,PREPARED_FOOD
200531,"OTHER ALCOHOLIC BEVERAGES AT FAST FOOD, TAKE-OUT,",PREPARED_FOOD
200532,OTHER ALCOHOLIC BEVERAGES AT FULL SERVICE RESTAURANT,SERVICE
200533,OTHER ALCOHOLIC BEVERAGES AT VENDING MACHINES AND,PREPARED_FOOD
200536,OTHER ALCOHOLIC BEVERAGES AT CATERED AFFAIRS,PREPARED_FOOD
210110,RENT,HOUSING
210901,GROUND RENT,HOUSING
210902,GROUND RENT,HOUSING
220121,HOMEOWNERS INSURANCE,HOUSING
220122,HOMEOWNERS INSURANCE,HOUSING
220211,PROPERTY TAXES,HOUSING
220212,PROPERTY TAXES,HOUSING
220311,MORTGAGE INTEREST,HOUSING
220312,MORTGAGE INTEREST,HOUSING
220313,"INTEREST PAID, HOME EQUITY LOAN",FINANCIAL
220314,"INTEREST PAID, HOME EQUITY LOAN",FINANCIAL
230113,PLUMBING AND WATER HEATING,UTILITY
230141,REPAIR OF BUILT-IN APPLIANCES,SERVICE
230142,REPAIR OF BUILT-IN APPLIANCES,SERVICE
230150,REPAIR OR MAINTENANCE SERVICES,SERVICE
230151,OTHER REPAIR AND MAINTENANCE SERVICES,SERVICE
230152,REPAIR AND REMODELING SERVICES,SERVICE
230901,PROPERTY MANAGEMENT,OTHER - No matching HS10 goods category
230902,PROPERTY MANAGEMENT,OTHER - No matching HS10 goods category
250211,"GAS, BTLD/TANK (RENTER)",UTILITY
250212,"GAS, BTLD/TANK (OWNED HOME)",UTILITY
250213,"GAS, BTLD/TANK (OWNED VACATION)",UTILITY
250214,"GAS, BTLD/TANK (RENTED VACATION)",UTILITY
260111,ELECTRICITY (RENTER),UTILITY
260112,ELECTRICITY (OWNED HOME),UTILITY
260113,ELECTRICITY (OWNED VACATION),UTILITY
260114,ELECTRICITY (RENTED VACATION),UTILITY
260211,UTILITY-NATURAL GAS (RENTER),UTILITY
260212,UTILITY-NATURAL GAS (OWNED HOME),UTILITY
260213,UTILITY-NATURAL GAS (OWNED VACATION),UTILITY
260214,UTILITY-NATURAL GAS (RENTED VACATION),UTILITY
270102,CELLULAR PHONE SERVICE,SERVICE
270211,WATER/SEWER MAINT. (RENTER),UTILITY
270212,WATER/SEWER MAINT. (OWNED HOME),UTILITY
270213,WATER/SEWER MAINT. (OWNED VACATION),UTILITY
270214,WATER/SEWER MAINT. (RENTED VACATION),UTILITY
270310,CABLE AND SATELLITE TELEVISION SERVICES,SERVICE
270311,SATELLITE RADIO SERVICE,SERVICE
270411,TRASH/GARB. COLL. (RENTER),UTILITY
270412,TRASH/GARB. COLL. (OWNED HOME),UTILITY
270413,TRASH/GARB. COLL. (OWNED VACATION),UTILITY
270414,TRASH/GARB. COLL. (RENTED VACATION),UTILITY
290210,SOFAS,OTHER - No matching HS10 goods category
310243,"RENTAL, STREAMING, DOWNLOADING VIDEO",HOUSING
310334,SATELLITE DISHES,UTILITY
320611,"MATERIAL FOR INSULATION, OTHER MAINTENANCE AND",SERVICE
320612,"MATERIAL FOR INSULATION, OTHER MAINTENANCE AND",SERVICE
320613,"MATERIAL FOR INSULATION, OTHER MAINTENANCE",SERVICE
320624,"FLOORING INSTALLATION, REPAIR, REPLACEMENT",SERVICE
320625,"FLOORING INSTALLATION, REPAIR, REPLACEMENT",SERVICE
320626,"FLOORING INSTALLATION, REPAIR, REPLACEMENT",SERVICE
320631,MATERIAL FOR LANDSCAPE MAINTENANCE,SERVICE
320632,MATERIALS FOR LANDSCAPING MAINTENANCE,SERVICE
320633,MATERIALS FOR LANDSCAPING MAINTENANCE,SERVICE
340120,DELIVERY SERVICES,SERVICE
340310,HOUSEKEEPING SERVICES,SERVICE
340410,"GARDENING, LAWN CARE SERVICE",SERVICE
340420,WATER SOFTENING SERVICE,SERVICE
340610,"REPAIR OF TV, RADIO, AND SOUND EQUIPMENT",SERVICE
340620,"APPLIANCE REPAIR, INCLUDING SERVICE CENTER",SERVICE
340630,"REUPHOLSTERING, FURNITURE REPAIR",SERVICE
340901,"REPAIRS/RENTALS OF LAWN AND GARDEN EQUIPMENT, HAND O",SERVICE
340902,RENTAL OF TELEVISIONS,HOUSING
340903,OTHER HOME SERVICES,SERVICE
340904,RENTAL OF FURNITURE,HOUSING
340905,"RENTAL OF VCR, RADIO, AND SOUND EQUIPMENT",HOUSING
340907,APPLIANCE RENTAL,HOUSING
340908,RENTAL OF OFFICE EQUIPMENT FOR NONBUSINESS USE,HOUSING
340911,MANAGEMENT AND UPKEEP SERVICES FOR SECURITY,SERVICE
340912,MANAGEMENT AND UPKEEP SERVICES FOR SECURITY,SERVICE
340913,REPAIR OF MISCELLANEOUS HOUSEHOLD EQUIPMENT AND,SERVICE
340914,SERVICES FOR TERMITE/PEST CONTROL,SERVICE
340915,HOME SECURITY SYSTEM SERVICE FEE,SERVICE
350110,TENANT''S INSURANCE,FINANCIAL
360320,MEN''S NIGHTWEAR,OTHER - No matching HS10 goods category
360902,MEN''S COSTUMES,OTHER - No matching HS10 goods category
410140,"INFANT NIGHTWEAR, LOUNGEWEAR",OTHER - No matching HS10 goods category
440110,SHOE REPAIR AND OTHER SHOE SERVICE,SERVICE
440130,"ALTERATION, REPAIR AND TAILORING OF APPAREL AND",SERVICE
440140,CLOTHING RENTAL,HOUSING
440150,WATCH AND JEWELRY REPAIR,SERVICE
470111,GASOLINE,UTILITY
470113,GASOLINE ON OUT-OF-TOWN TRIPS,UTILITY
480212,VEHICLE PRODUCTS AND CLEANING SERVICES,SERVICE
490000,"MISC. AUTO REPAIR, SERVICING",SERVICE
490300,VEHICLE OR ENGINE REPAIRS,SERVICE
490316,"GAS TANK REPAIR, REPLACEMENT",SERVICE
490318,REPAIR TIRES AND OTHER REPAIR WORK,SERVICE
490900,AUTO REPAIR SERVICE POLICY,SERVICE
500110,VEHICLE INSURANCE,FINANCIAL
510110,AUTOMOBILE FINANCE CHARGES,FINANCIAL
510901,TRUCK FINANCE CHARGES,FINANCIAL
510902,MOTORCYCLE AND PLANE FINANCE CHARGES,FINANCIAL
520516,AUTO/TRUCK RENTAL,HOUSING
520517,"AUTO/TRUCK RENTAL, OUT-OF-TOWN TRIPS",HOUSING
520902,MOTORCYCLE RENTAL,HOUSING
520904,RENTAL NONCAMPER TRAILER,HOUSING
520905,"MOTORCYCLE RENTAL, OUT-OF-TOWN TRIPS",HOUSING
520907,BOAT AND TRAILER RENTAL OUT-OF-TOWN TRIPS,HOUSING
530210,INTERCITY BUS FARES,OTHER - No matching HS10 goods category
530411,TAXI FARES AND LIMOUSINE SERVICES ON TRIPS,SERVICE
530412,TAXI FARES AND LIMOUSINE SERVICES,SERVICE
560110,PHYSICIAN''S SERVICES,SERVICE
560210,DENTAL SERVICES,SERVICE
560310,EYECARE SERVICES,SERVICE
560400,SERVICE BY PROFESSIONALS OTHER THAN PHYSICIAN (THRU,SERVICE
560410,NON PHYSICIAN SERVICES INSIDE HOME,SERVICE
560420,NON PHYSICIAN SERVICES OUTSIDE HOME (NEW UCC Q20172),SERVICE
570111,HOSPITAL ROOM AND SERVICES,SERVICE
570230,OTHER MEDICAL CARE SERVICES,SERVICE
570240,MEDICAL CARE IN RETIREMENT COMMUNITY,SERVICE
570901,RENTAL OF MEDICAL EQUIPMENT,HOUSING
570902,REPAIR OF MEDICAL EQUIPMENT,SERVICE
